上海公兴搬场公司（黄浦区店）	上海市茂名南路226号
上海日强保洁公司（黄浦区）	黄浦区中华路231号
上海福庭保洁公司（黄浦区地毯清洗店）	上海市黄浦区江西中路105号
上海联翔保洁服务有限公司黄浦区店	黄家路99弄
上海万德保洁服务有限公司（黄浦区陆家浜路店）	黄浦区陆家浜路268号
上海市保安服务总公司黄浦区一公司	上海市溪口路11号
上海圆驰汽车运输公司（黄浦区分部）	合肥路315号
上海市保安服务总公司黄浦区二公司	上海市黄浦区永寿路5号
上海市保安服务总公司黄浦区一公司技术防范系统工程部	溪口路11
上海联翔保洁服务有限公司黄浦区店面	南京东路635号
上海福庭保洁公司黄浦区地毯清洁店	黄河路333号2楼(金色家园商务楼)
上海福庭保洁服务有限公司黄浦区地毯清洗店	中山南路318号
黄浦区企业服务中心	靖远街68
黄浦区私营企业协会	瞿溪路1072弄2-2临
上海同缘公司烟酒专卖店(黄浦区建筑建材业受理服务中心东南)	山西南路209
黄浦区房地产开发实业总公司	丽园路111
黄浦区车辆停放管理公司外滩分公司	浙江南路50号四楼
黄浦区房地产开发实业总公司(梦花街)	梦花街234号锦南商厦9层
大众燃气公司黄浦区办事处	陆家浜路692-694
上海拓憬多媒体技术有限公司	上海市黄浦区北京东路666号科技京城西楼5层
上海威鹏电线电缆有限公司	上海市黄浦区北京东路668号赛格电子市场1a43位
上海市黄浦区粮食局	福建中路429号
上海休泰实业有限公司(上海休泰新文化珠宝有限公司)	上海市黄浦区延安东路59号8层
北京译传思翻译公司黄浦区分公司	福州路318号腾飞浦汇大厦
北京译佳林翻译公司黄浦区分公司	黄浦黄河路345号
中国邮政储蓄银行股份有限公司上海黄浦区打浦桥营业所	瑞金二路438
上海日强保洁公司（河南南路店）	黄浦区河南南路1009号
韵达快运黄浦区老西门公司	宁海东路111
黄浦区广环环境卫生服务有限公司	西凌家宅路1临
黄浦区企业合同信用促进会	汉口路271号汉光大楼3楼306室
上海银河国际旅行社、上海银河国际会展有限公司	黄浦区上海市陆家浜路1089-3号(西藏南路)
上海亚一金店有限公司	黄浦区福佑路288号(福佑路旧校场路)  公交/驾车
上海明天广场有限公司	上海市黄浦区南京西路399号,黄陂北路309号
上海第一食品连锁发展公司	黄浦区南京东路720号(近贵州路)
中信银行股份有限公司	上海市黄浦区南京东路61号新黄浦金融大厦
上海大都市酒店有限公司	上海市黄浦区湖北路131号(近广东路口)
上海佳吉快运服务有限公司	黄浦区徽宁路389号(徽宁路厅西路)
黄浦区法律援助中心	斜土路459
恒源祥有限公司	黄浦区金陵东路358号(金陵东路浙江南路)
德邦物流	上海市黄浦区鲁班路348号（鲁班路与斜土路交叉口）
上海国旅	上海市黄浦区
上海丽途旅游服务管理有限公司	上海市黄浦区宁波路1号申华金融大厦9楼
上海富瑞微电子有限公司	上海市黄浦区北京东路668号东楼地下一层B123
-东方之珠酒业	上海市黄浦区中华路路567号朝阳门大厦4楼e座
老庙黄金市南银楼公司	黄浦区南京东路462号(近福建中路)  公交/驾车
汪凌形象设计	黄浦区福州路355号1306室(近地铁2号线南京东路站4号口)
帮宝适母婴服务中心	黄浦区复兴东路248号721-713室(面筋弄中华路)
德邦物流	上海市黄浦区河南南路33号
上海爱脑培教育咨询有限公司	黄浦区南京东路409-459号置地广场11楼1122室(近山西南路)
久事赛事官方票务	上海市黄浦区中山南路28号久事大厦16层
成也集团	上海市黄浦区打浦路1号金玉兰广场西峰609室
上海客杰实业有限公司	上海市黄浦区福建中路485号
上海福泰珠宝首饰有限公司	黄浦区南京东路409-459号置地广场9楼919-920室(近山西南路)
上海可丽可心美容有限公司	黄浦区新闸路389号(新桥路新闸路)
惠罗公司	黄浦区南京东路100号5楼(近四川中路)  公交/驾车
黄浦区机关事业单位退休职工活动室	鲁班路209号兴城商务楼
上海杰韵宠物有限公司	上海市黄浦区广西南路7号
上海美最时图文设计公司	黄浦区黄河路355号雅州商务中心3号楼1楼(近地铁1号线新闸路)
黄浦区老西门法律服务所	学前街81号唐城公寓 附近
中国工商银行股份有限公司	黄浦区北京西路380号近北京路(北京西路成都北路)
方馨家政	黄浦区南京东路153号6楼C座(近江西中路)
人人家政	黄浦区金陵东路368号金陵商厦6楼605A室(近人民广场)
上海唯而美图文广告有限公司	上海市黄浦区河南中路537号靠近宁波路
上海万德保洁公司外马路店	上海保洁公司黄浦区外马路80号
黄浦区法律援助中心	国货路288号
黄浦区瑞金二路街道社区事务受理服务中心	南昌路47号2号楼
上海市黄浦区如怡百货商店	中国上海市黄浦区福佑路223号2楼75-76
上海公司	上海市黄浦区福州路107号251室
上海保险公司-联泰大都会人寿-保险公司	上海市黄浦区黄陂北路227号5楼
东安旅行社	上海市黄浦区淮海东路99号恒积大厦7楼q座(西藏路口)
上海远景旅行社有限公司	黄浦区南京东路233号南京大楼616(近河南中路)
上海市黄浦区甜园花店	徐家汇路398号104
上海市黄浦区智辉食品商店	福佑路338号福源商厦保健食品批发市场2层162号
